wwwsild1 24992     1  0 01:09 ?        00:02:21 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/N1-A-6/N1-A-6-Process_Archive.tra --innerProcess
wwwsild1 25925     1  0 01:09 ?        00:01:56 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/N1-A-7/N1-A-7-Process_Archive.tra --innerProcess
wwwsild1 25978     1  0 01:09 ?        00:02:12 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/N1-A-8/N1-A-8-Process_Archive.tra --innerProcess
wwwsild1 26294     1  0 01:09 ?        00:01:53 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/ModN3-A-2/ModN3-A-2-N3-A-2ProcessArchieve.tra --innerProcess
wwwsild1 26303     1  0 01:09 ?        00:02:35 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/N3-A-2/N3-A-2-Process_Archive.tra --innerProcess
wwwsild1 26442     1  0 01:09 ?        00:02:12 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/N3-A-3/N3-A-3-Process_Archive.tra --innerProcess
wwwsild1 26476     1  0 01:09 ?        00:01:45 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/N3-A1-FTP/N3-A1-FTP-N3-A1-FTP.tra --innerProcess
wwwsild1 26500     1  0 01:09 ?        00:01:26 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-12/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM1/tra/DomainA1_D1/application/Test1-1/Test1-1-Process_Archive.tra --innerProcess
wwwsild1 26503     1  0 01:09 ?        00:01:34 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-18/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD1/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D1_BWTLM4/tra/DomainA1_D1/application/Timer/Timer-Process_Archive.tra --innerProcess
wwwsild1 26512     1  0 01:09 ?        00:01:38 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-13/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM2/tra/DomainA1_D1/application/ISS_SPARTA_ProductList/ISS_SPARTA_ProductList-MRPExtract.tra --innerProcess
wwwsild1 26514     1  0 01:09 ?        00:02:21 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/N8-1/N8-1-Process_Archive.tra --innerProcess
wwwsild1 26516     1  1 01:09 ?        00:03:06 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/TerminationFile/TerminationFile-Process_Archive.tra --innerProcess
wwwsild1 26630     1  0 01:09 ?        00:02:34 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-17/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM4/tra/DomainA1_D1/application/ISS_ALIGN_DM_CIMtoMMWParty/ISS_ALIGN_DM_CIMtoMMWParty-ISS_ALIGN_DM_CIMtoMMWParty.tra --innerProcess
wwwsild1 26631     1  0 01:09 ?        00:02:11 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-17/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM4/tra/DomainA1_D1/application/ISS_ALIGN_DM_CIMtoCMParty/ISS_ALIGN_DM_CIMtoCMParty-ISS_ALIGN_DM_CIMtoCMParty.tra --innerProcess
wwwsild1 26637     1  0 01:09 ?        00:02:14 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-17/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM4/tra/DomainA1_D1/application/ISS_ALIGN_DM_CMtoCIMParty/ISS_ALIGN_DM_CMtoCIMParty-ISS_ALIGN_DM_CMtoCIMParty.tra --innerProcess
wwwsild1 26638     1  0 01:09 ?        00:02:08 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-17/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM4/tra/DomainA1_D1/application/ISS_ALIGN_DM_CODSExactMatch/ISS_ALIGN_DM_CODSExactMatch-ISS_ALIGN_DM_CODSExactMatch.tra --innerProcess
wwwsild1 26647     1  0 01:09 ?        00:02:04 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-17/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM4/tra/DomainA1_D1/application/ISS_ALIGN_DM_CODStoNetricsParty/ISS_ALIGN_DM_CODStoNetricsParty-ISS_ALIGN_DM_CODStoNetricsParty.tra --innerProcess
wwwsild1 26651     1  0 01:09 ?        00:01:34 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/EHSSubscriber/EHSSubscriber-EHSSubscriberProcArchive-FT.tra --innerProcess
wwwsild1 26653     1  0 01:09 ?        00:01:36 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/SMISPublisher/SMISPublisher-SMISPublisherProcArchive-FT.tra --innerProcess
wwwsild1 26654     1  0 01:09 ?        00:02:05 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/ISS_GSMG_VENDOR_MATCH/ISS_GSMG_VENDOR_MATCH-ISS_GSMG_VENDOR_MATCH.tra --innerProcess
wwwsild1 26655     1  0 01:09 ?        00:02:03 /opt/tibco/DEV/Silver/DSEngine/work/lctcsd1090-15/tibco/bw/5.13/bin/bwengine --pid --run --propFile /tibcoD3/data001/local/shareddrive/DEV/Domain_Data/DomainA1_D1/D3_BWTLM3/tra/DomainA1_D1/application/SAP_MDM_WebService/SAP_MDM_WebService-Process_Archive.tra --innerProcess
